代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
600635,大众公用,20251204,A_Strong_Pullback (中风险接力),8.22,-44.77%,-28.53%,从未,1,137,-----------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002137,实益达,20251204,A_Strong_Pullback (中风险接力),9.47,10.03%,-4.72%,39,1,138,--------------------------------------+++++++++--+------------------------------------------------------------------+++++++-++++++++++++++,正常
002520,日发精机,20251204,B_Low_Position_Start (低风险埋伏),6.4,20.62%,-2.51%,1,4,138,+++---------------------+--------+-------------+++++++--++++++++++--------------------------------+++++++++++-----------++++++++++++++++++,正常
603711,香飘飘,20251204,E_Leader_Restart (二次启动),15.38,-23.60%,-12.74%,1,2,137,+-+------------------------------------------------------------------------------------------------------+-------------------------------,深度套牢
603223,恒通股份,20251204,D_Strong_Breakout (高风险追涨/优化),11.45,23.58%,-15.41%,86,1,113,-------------------------------------------------------------------------------------+-------------------++++++++,正常
601098,中南传媒,20260105,B_Low_Position_Start (低风险埋伏),11.26,-9.24%,-2.37%,1,10,113,++++-+-++-----------+---------------------+---------------------------+++++++++-++-------------------------------,冲高回落
002361,神剑股份,20260105,E_Leader_Restart (二次启动),14.34,-0.91%,8.89%,1,10,118,+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-,冲高回落
603332,苏州龙杰,20260105,E_Leader_Restart (二次启动),13.88,-21.83%,-5.36%,10,1,117,---------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++-------------------------------,深度套牢 | 冲高回落
600589,大位科技,20260220,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260220,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600667,太极实业,20260118,C_New_Strategy (最高共振),9.3,222.15%,37.98%,1,14,108,+++++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260118,C_New_Strategy (最高共振),10.56,-17.14%,7.59%,1,64,108,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++-+-----------------------------,深度套牢 | 冲高回落
600744,华银电力,20260118,C_New_Strategy (最高共振),6.63,-4.22%,16.04%,1,7,109,++++++----------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------,冲高回落
603618,杭电股份,20260118,A_Strong_Pullback (中风险接力),8.51,475.79%,234.59%,1,9,109,++++++-+-+++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002112,三变科技,20260118,E_Leader_Restart (二次启动),19.97,-17.73%,5.94%,1,10,109,+++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++-------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260118,E_Leader_Restart (二次启动),9.73,-27.44%,-8.43%,1,11,109,++++++++++-----------+++++++++++----------------------------------------+------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260118,E_Leader_Restart (二次启动),5.92,-35.47%,-19.54%,3,1,109,--+++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260118,D_Strong_Breakout (高风险追涨/优化),15.41,0.84%,-3.04%,5,1,108,----+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++,正常
000862,银星能源,20260306,E_Leader_Restart (二次启动),7.31,-32.83%,-8.72%,1,7,80,++++++-++++++++----------------------------+------------+-+---------------------,深度套牢 | 冲高回落
600667,太极实业,20260117,C_New_Strategy (最高共振),9.3,222.15%,37.98%,1,14,108,+++++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260117,C_New_Strategy (最高共振),10.56,-17.14%,7.59%,1,64,108,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++-+-----------------------------,深度套牢 | 冲高回落
600744,华银电力,20260117,C_New_Strategy (最高共振),6.63,-4.22%,16.04%,1,7,109,++++++----------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------,冲高回落
603618,杭电股份,20260117,A_Strong_Pullback (中风险接力),8.51,475.79%,234.59%,1,9,109,++++++-+-+++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002112,三变科技,20260117,E_Leader_Restart (二次启动),19.97,-17.73%,5.94%,1,10,109,+++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++-------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260117,E_Leader_Restart (二次启动),9.73,-27.44%,-8.43%,1,11,109,++++++++++-----------+++++++++++----------------------------------------+------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260117,E_Leader_Restart (二次启动),5.92,-35.47%,-19.54%,3,1,109,--+++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260117,D_Strong_Breakout (高风险追涨/优化),15.41,0.84%,-3.04%,5,1,108,----+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++,正常
601098,中南传媒,20260102,B_Low_Position_Start (低风险埋伏),11.26,-9.24%,-2.37%,1,10,113,++++-+-++-----------+---------------------+---------------------------+++++++++-++-------------------------------,冲高回落
002361,神剑股份,20260102,E_Leader_Restart (二次启动),14.34,-0.91%,8.78%,2,1,119,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-,冲高回落
603332,苏州龙杰,20260102,E_Leader_Restart (二次启动),13.88,-21.83%,-5.33%,11,1,118,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++-------------------------------,深度套牢 | 冲高回落
600589,大位科技,20260219,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260219,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600601,方正科技,20260601,A_Strong_Pullback (中风险接力),13.43,12.58%,-1.05%,10,1,23,---------+++++--+--++++,正常
000791,甘肃能源,20260601,E_Leader_Restart (二次启动),9.84,-21.24%,-13.32%,1,3,23,++---------------------,深度套牢 | 冲高回落
000048,京基智农,20260616,E_Leader_Restart (二次启动),18.91,12.32%,11.55%,1,2,12,+-++++++++++,正常
600667,太极实业,20260120,C_New_Strategy (最高共振),9.3,222.15%,38.65%,1,12,106,+++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002196,方正电机,20260120,E_Leader_Restart (二次启动),16.53,-15.37%,-10.79%,1,7,107,++++++-++++-++++++++++----------------------------------------------------+--++----------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260120,E_Leader_Restart (二次启动),9.73,-27.44%,-8.62%,1,9,107,++++++++-----------+++++++++++----------------------------------------+------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260120,E_Leader_Restart (二次启动),5.92,-35.47%,-19.83%,1,6,107,+++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600841,动力新科,20260120,E_Leader_Restart (二次启动),6.86,-2.19%,23.58%,1,37,107,++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++---+-------------,冲高回落
002845,同兴达,20260120,D_Strong_Breakout (高风险追涨/优化),15.41,0.84%,-3.04%,3,1,106,--+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++,正常
600955,维远股份,20260120,D_Strong_Breakout (高风险追涨/优化),18.72,-15.54%,-4.16%,1,33,107,++++++++++++++++++++++++++++++++----------+------------+---+++++++--+--------------------------------------,深度套牢 | 冲高回落
600073,光明肉业,20260120,D_Strong_Breakout (高风险追涨/优化),6.75,-26.81%,-13.36%,从未,1,107,-----------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002107,沃华医药,20260411,E_Leader_Restart (二次启动),7.53,-11.82%,-10.44%,2,1,56,-+++++++++--+-------------------------------------------,深度套牢 | 冲高回落
002995,天地在线,20251202,A_Strong_Pullback (中风险接力),18.62,-4.24%,26.06%,1,4,113,+++-++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----+-,冲高回落
002995,天地在线,20251202,A_Strong_Pullback (中风险接力),18.62,-4.24%,26.06%,1,4,113,+++-++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----+-,冲高回落
603567,珍宝岛,20260506,B_Low_Position_Start (低风险埋伏),7.08,-32.34%,-10.49%,1,19,41,++++++++++++++++++-----------------------,深度套牢 | 冲高回落
002579,中京电子,20251215,A_Strong_Pullback (中风险接力),11.89,64.59%,15.38%,5,1,131,----+-++-+++++++++++++++++++++------------+++++--++-+++++++++-++----++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++,正常
002235,安妮股份,20251215,E_Leader_Restart (二次启动),12.85,-27.55%,-20.37%,从未,1,130,----------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002725,跃岭股份,20251215,E_Leader_Restart (二次启动),19.08,-35.27%,-18.69%,从未,1,131,-----------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000862,银星能源,20260307,E_Leader_Restart (二次启动),7.31,-32.83%,-8.72%,1,7,80,++++++-++++++++----------------------------+------------+-+---------------------,深度套牢 | 冲高回落
000533,顺钠股份,20260207,E_Leader_Restart (二次启动),11.25,-15.91%,17.78%,1,3,94,++-+++++++-++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++-------------------,深度套牢 | 冲高回落
600481,双良节能,20260207,E_Leader_Restart (二次启动),10.51,-55.57%,-37.19%,1,2,94,+--+------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603890,春秋电子,20260608,E_Leader_Restart (二次启动),31.24,-24.97%,-17.70%,从未,1,18,------------------,长期未回正 | 深度套牢
002137,实益达,20260608,E_Leader_Restart (二次启动),10.35,0.68%,1.15%,1,3,18,++-----+++-+++++-+,正常
000600,建投能源,20260315,E_Leader_Restart (二次启动),10.19,-11.58%,-2.85%,8,1,75,-------++---------------------------------+---++++++++++++--++++-----------,深度套牢 | 冲高回落
600156,华升股份,20260423,E_Leader_Restart (二次启动),10.11,-5.84%,3.01%,3,1,47,--+++++++++++++++++++++++----------------------,冲高回落
603335,迪生力,20260423,E_Leader_Restart (二次启动),7.07,22.49%,8.39%,3,1,47,--++--++++++++++-+--++++++---++++++++++++++++++,正常
002383,合众思壮,20251217,C_New_Strategy (最高共振),10.62,-32.11%,-5.31%,3,1,129,--+-+++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------,深度套牢 | 冲高回落
001318,阳光乳业,20251217,A_Strong_Pullback (中风险接力),16.67,-37.31%,-17.93%,2,1,128,-++-----------------------------------------------------------------------------------------------------------------------------,深度套牢
600721,百花医药,20251217,A_Strong_Pullback (中风险接力),10.45,-33.40%,-15.53%,1,9,121,++++++++------------------------------------------------------+----------------------------------------------------------,深度套牢 | 冲高回落
601366,利群股份,20251217,B_Low_Position_Start (低风险埋伏),4.99,-31.06%,-13.05%,1,9,128,++++++++-----+++--+++++++++++---++++--------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000950,重药控股,20251217,E_Leader_Restart (二次启动),6.58,-19.15%,-10.04%,1,5,129,++++----------------------------------------------------------------+++--------------------++++----------------------------------,深度套牢 | 冲高回落
603421,鼎信通讯,20251224,A_Strong_Pullback (中风险接力),8.43,-27.16%,-5.35%,46,1,124,---------------------------------------------++++++++++++++++++-+++-+--------------++++++--+--------------------------------,深度套牢 | 冲高回落
603977,国泰集团,20251224,E_Leader_Restart (二次启动),14.59,6.17%,1.31%,3,1,124,--+-----+++++++++++++++++------+++-++++++++++++--+++++++++++++++-+++----+++++-------++-+----------+++++++-------------++++++,正常
603012,创力集团,20260515,C_New_Strategy (最高共振),9.55,-7.64%,-10.30%,5,1,34,----+++++-------------------------,冲高回落
603758,秦安股份,20260515,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-21.84%,从未,1,34,----------------------------------,长期未回正 | 深度套牢
600589,大位科技,20260218,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260218,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600028,中国石化,20260303,C_New_Strategy (最高共振),7.11,-33.90%,-23.62%,1,2,83,+----------------------------------------------------------------------------------,深度套牢
002350,北京科锐,20260303,E_Leader_Restart (二次启动),11.89,14.38%,24.79%,1,从未,83,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000993,闽东电力,20260303,E_Leader_Restart (二次启动),14.0,-27.43%,-6.37%,1,10,83,+++++++++-+++-++++++++------------------------+---+-----+++++++--------------------,深度套牢 | 冲高回落
000819,岳阳兴长,20260303,D_Strong_Breakout (高风险追涨/优化),17.48,-31.81%,-14.63%,从未,1,83,-----------------------------------------------------------------------------------,长期未回正 | 深度套牢
002209,达 意 隆,20260115,C_New_Strategy (最高共振),17.25,-36.58%,-16.05%,62,1,110,-------------------------------------------------------------+------------------------------------------------,深度套牢
002197,ST证通,20260115,A_Strong_Pullback (中风险接力),11.0,-45.73%,-28.46%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600095,湘财股份,20260115,A_Strong_Pullback (中风险接力),11.82,-34.09%,-20.12%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002519,银河电子,20260115,E_Leader_Restart (二次启动),11.46,-48.08%,-30.96%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603282,亚光股份,20260115,E_Leader_Restart (二次启动),22.4,-33.35%,-13.47%,25,1,110,------------------------++++---+-------+----------------------------------------------------------------------,深度套牢
600783,鲁信创投,20260115,E_Leader_Restart (二次启动),35.5,-37.24%,-37.27%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000066,中国长城,20260115,E_Leader_Restart (二次启动),16.74,2.21%,3.25%,4,1,110,---+++++----------------------++++------------------------------+++++++++++++++++++++++++++-------++++++++++++,正常
002085,万丰奥威,20260115,D_Strong_Breakout (高风险追涨/优化),17.32,-33.78%,-17.96%,从未,1,109,-------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600769,祥龙电业,20260115,D_Strong_Breakout (高风险追涨/优化),13.83,57.48%,12.23%,33,1,110,--------------------------------++++++-------++++--+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
601098,中南传媒,20260101,B_Low_Position_Start (低风险埋伏),11.26,-9.24%,-2.37%,1,10,113,++++-+-++-----------+---------------------+---------------------------+++++++++-++-------------------------------,冲高回落
002361,神剑股份,20260101,E_Leader_Restart (二次启动),14.34,-0.91%,8.78%,2,1,119,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-,冲高回落
603332,苏州龙杰,20260101,E_Leader_Restart (二次启动),13.88,-21.83%,-5.33%,11,1,118,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++-------------------------------,深度套牢 | 冲高回落
600589,大位科技,20260217,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260217,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600998,九州通,20260126,C_New_Strategy (最高共振),5.58,-11.47%,-8.64%,从未,1,103,-------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000670,盈方微,20260126,E_Leader_Restart (二次启动),9.69,-24.15%,-13.88%,76,1,103,---------------------------------------------------------------------------+---------+-----------------,深度套牢
600192,长城电工,20260126,E_Leader_Restart (二次启动),11.35,-41.76%,-25.03%,从未,1,103,-------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002727,一心堂,20260126,D_Strong_Breakout (高风险追涨/优化),14.04,-26.21%,-11.47%,2,1,103,-+++--++-++---------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
603883,老百姓,20260126,D_Strong_Breakout (高风险追涨/优化),16.44,-30.23%,-18.64%,从未,1,103,-------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600998,九州通,20260125,C_New_Strategy (最高共振),5.58,-11.47%,-8.56%,1,2,104,+-------------------------------------------------------------------------------------------------------,深度套牢
000670,盈方微,20260125,E_Leader_Restart (二次启动),9.69,-24.15%,-13.72%,1,2,104,+---------------------------------------------------------------------------+---------+-----------------,深度套牢
600192,长城电工,20260125,E_Leader_Restart (二次启动),11.35,-41.76%,-24.81%,从未,1,104,--------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002727,一心堂,20260125,D_Strong_Breakout (高风险追涨/优化),14.04,-26.21%,-11.37%,3,1,104,--+++--++-++---------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
603883,老百姓,20260125,D_Strong_Breakout (高风险追涨/优化),16.44,-30.23%,-18.48%,从未,1,104,--------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603006,联明股份,20260425,D_Strong_Breakout (高风险追涨/优化),13.64,8.65%,0.95%,1,3,46,++--+++++++++++++---++++--+++--------+++++++++,正常
002587,奥拓电子,20260629,A_Strong_Pullback (中风险接力),7.33,-7.64%,-0.07%,1,3,4,++--,冲高回落
600058,五矿发展,20260629,E_Leader_Restart (二次启动),11.88,-9.51%,-5.35%,从未,1,4,----,长期未回正
603110,东方材料,20260318,A_Strong_Pullback (中风险接力),17.66,19.59%,15.83%,22,1,72,---------------------+++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000617,中油资本,20260318,E_Leader_Restart (二次启动),9.89,-30.74%,-11.76%,1,18,72,+++++++++-+++++++-------------------------------------------------------,深度套牢 | 冲高回落
600667,太极实业,20260119,C_New_Strategy (最高共振),9.3,222.15%,38.32%,1,13,107,++++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260119,C_New_Strategy (最高共振),10.56,-17.14%,7.62%,1,63,107,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++-+-----------------------------,深度套牢 | 冲高回落
600744,华银电力,20260119,C_New_Strategy (最高共振),6.63,-4.22%,16.14%,1,6,108,+++++----------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------,冲高回落
603618,杭电股份,20260119,A_Strong_Pullback (中风险接力),8.51,475.79%,236.70%,1,8,108,+++++-+-+++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002112,三变科技,20260119,E_Leader_Restart (二次启动),19.97,-17.73%,5.90%,1,9,108,++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++-------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260119,E_Leader_Restart (二次启动),9.73,-27.44%,-8.53%,1,10,108,+++++++++-----------+++++++++++----------------------------------------+------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260119,E_Leader_Restart (二次启动),5.92,-35.47%,-19.70%,2,1,108,-+++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260119,D_Strong_Breakout (高风险追涨/优化),15.41,0.84%,-3.04%,4,1,107,---+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++,正常
002350,北京科锐,20260326,E_Leader_Restart (二次启动),15.19,-10.47%,-1.32%,26,1,66,-------------------------+++++++++++++++++++----++--+++-----------,深度套牢 | 冲高回落
002350,北京科锐,20260327,E_Leader_Restart (二次启动),15.19,-10.47%,-1.30%,25,1,65,------------------------+++++++++++++++++++----++--+++-----------,深度套牢 | 冲高回落
002510,天汽模,20260111,E_Leader_Restart (二次启动),7.79,-25.80%,-9.18%,1,2,110,+-+-++++++----------++++++--++++++-+--------------------------------------------------------------------------,深度套牢 | 冲高回落
002023,海特高新,20260111,E_Leader_Restart (二次启动),14.85,-14.48%,-17.59%,1,2,114,+-----------------------------------------------------------------------------------------------------------------,深度套牢
600830,香溢融通,20260111,D_Strong_Breakout (高风险追涨/优化),9.88,-17.21%,-7.24%,1,2,114,+-------++----------+-------+----------------------------------------+++++++++++++--------------------------------,深度套牢 | 冲高回落
601098,中南传媒,20260103,B_Low_Position_Start (低风险埋伏),11.26,-9.24%,-2.37%,1,10,113,++++-+-++-----------+---------------------+---------------------------+++++++++-++-------------------------------,冲高回落
002361,神剑股份,20260103,E_Leader_Restart (二次启动),14.34,-0.91%,8.78%,2,1,119,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-,冲高回落
603332,苏州龙杰,20260103,E_Leader_Restart (二次启动),13.88,-21.83%,-5.33%,11,1,118,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++-------------------------------,深度套牢 | 冲高回落
600589,大位科技,20260216,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260216,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000710,贝瑞基因,20260106,B_Low_Position_Start (低风险埋伏),12.08,-33.53%,-12.75%,2,1,116,-+++++++++++++++--+++++++++++++-------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603108,润达医疗,20260106,B_Low_Position_Start (低风险埋伏),15.82,-39.95%,-13.98%,1,12,110,+++++++++++-+++-+++++++-+-------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002019,亿帆医药,20260106,B_Low_Position_Start (低风险埋伏),12.6,-20.40%,-6.35%,1,4,113,+++-+++++++---------------+++++++++++++++++-++-+++++++++---+-----------------------------------------------------,深度套牢 | 冲高回落
600521,华海药业,20260106,B_Low_Position_Start (低风险埋伏),17.75,-13.18%,-11.12%,从未,1,113,-----------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600055,万东医疗,20260106,B_Low_Position_Start (低风险埋伏),16.38,-33.76%,-13.36%,1,10,113,+++++++++--------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002755,奥赛康,20260106,B_Low_Position_Start (低风险埋伏),17.13,-11.62%,-9.79%,1,10,113,+++++++++---------------------------------+------------------------------+++------+------------------------------,深度套牢 | 冲高回落
002177,御银股份,20260106,E_Leader_Restart (二次启动),8.62,-35.15%,-10.79%,1,7,117,++++++-------------------+---++++++++--++++++------------------------------------------------------------------------,深度套牢 | 冲高回落
603278,大业股份,20260106,E_Leader_Restart (二次启动),16.1,-24.78%,-22.06%,1,5,117,++++------------------------------------------------------------------------------+++--------------------------------,深度套牢 | 冲高回落
603331,百达精工,20260106,E_Leader_Restart (二次启动),13.81,-17.09%,6.04%,3,1,117,--+++--++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------,深度套牢 | 冲高回落
002367,康力电梯,20260623,B_Low_Position_Start (低风险埋伏),5.98,17.22%,14.28%,1,从未,8,++++++++,正常
002068,黑猫股份,20260623,E_Leader_Restart (二次启动),11.5,23.48%,26.66%,1,从未,8,++++++++,正常
603679,华体科技,20260623,E_Leader_Restart (二次启动),20.76,-1.59%,-1.51%,1,3,8,++------,正常
003013,地铁设计,20260623,D_Strong_Breakout (高风险追涨/优化),16.98,-15.49%,-11.50%,从未,1,8,--------,长期未回正 | 深度套牢
002871,伟隆股份,20251218,A_Strong_Pullback (中风险接力),15.74,32.40%,23.49%,1,从未,128,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603057,紫燕食品,20251218,B_Low_Position_Start (低风险埋伏),18.97,24.72%,41.87%,1,40,110,+++++++++++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000716,黑芝麻,20251218,E_Leader_Restart (二次启动),6.55,-34.35%,-15.24%,1,3,128,++-----------------++-----------------------------------------------------------------------------------------------------------,深度套牢
002510,天汽模,20260112,E_Leader_Restart (二次启动),7.79,-25.80%,-9.28%,2,1,109,-+-++++++----------++++++--++++++-+--------------------------------------------------------------------------,深度套牢 | 冲高回落
002023,海特高新,20260112,E_Leader_Restart (二次启动),14.85,-14.48%,-17.78%,从未,1,113,-----------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600830,香溢融通,20260112,D_Strong_Breakout (高风险追涨/优化),9.88,-17.21%,-7.31%,8,1,113,-------++----------+-------+----------------------------------------+++++++++++++--------------------------------,深度套牢 | 冲高回落
603065,宿迁联盛,20260302,C_New_Strategy (最高共振),9.65,94.82%,4.76%,14,1,84,-------------+----------------------------------------------------++++++++++++++++++,正常
600470,六国化工,20260302,E_Leader_Restart (二次启动),7.94,-23.43%,-16.21%,4,1,84,---+++++++++------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260302,E_Leader_Restart (二次启动),13.8,-24.49%,-15.96%,1,6,84,+++++-+++++-------------+-----------------------------------------------------------,深度套牢 | 冲高回落
000554,泰山石油,20260302,E_Leader_Restart (二次启动),8.83,-33.30%,-12.04%,1,14,84,+++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
603315,福鞍股份,20260302,E_Leader_Restart (二次启动),17.7,-17.51%,-8.27%,33,1,84,--------------------------------+--++++----+++++++++--------------------------------,深度套牢 | 冲高回落
601390,中国中铁,20260302,E_Leader_Restart (二次启动),6.19,-30.86%,-17.98%,从未,1,84,------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000968,蓝焰控股,20260302,E_Leader_Restart (二次启动),8.55,-26.90%,0.61%,1,44,84,+++++++++++++++++++++++++++++++++++++++++++-------+---------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260302,E_Leader_Restart (二次启动),8.8,-28.41%,-19.06%,7,2,84,------++----------------------------------------------------------------------------,深度套牢
002115,三维通信,20260430,E_Leader_Restart (二次启动),14.0,-23.64%,-10.74%,1,10,42,+++++++++---------------------------------,深度套牢 | 冲高回落
003036,泰坦股份,20260430,E_Leader_Restart (二次启动),33.83,159.56%,108.31%,1,从未,42,++++++++++++++++++++++++++++++++++++++++++,正常
603890,春秋电子,20260606,E_Leader_Restart (二次启动),29.36,-20.16%,-12.00%,12,1,19,-----------+-------,深度套牢
002125,湘潭电化,20260606,E_Leader_Restart (二次启动),16.2,-19.75%,1.69%,2,1,19,-++++++++++--------,深度套牢 | 冲高回落
002107,沃华医药,20260414,E_Leader_Restart (二次启动),7.53,-11.82%,-10.80%,1,9,54,++++++++--+-------------------------------------------,深度套牢 | 冲高回落
600579,中化装备,20260621,E_Leader_Restart (二次启动),7.37,7.33%,5.50%,1,3,10,++-+++++++,正常
603006,联明股份,20260428,D_Strong_Breakout (高风险追涨/优化),13.64,8.65%,0.94%,3,1,44,--+++++++++++++---++++--+++--------+++++++++,正常
002757,南兴股份,20260108,E_Leader_Restart (二次启动),21.61,-13.93%,4.29%,1,6,115,+++++--------+---+++++++++++++-----++++---+-------------------++++++++++++++++++++++++++++++++++--+----------------,深度套牢 | 冲高回落
